-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1981 through 04/23/2020 
Location: Latitude  47.3929   Longitude -124.3132 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 107.92 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,PS,QV2M,T2M_RANGE,TS,T2MDEW,T2M,WS50M,WS10M,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
47.39291,-124.31319,1981,01,01,    0.09,  100.62,  0.005916,    4.18,    7.71,    6.25,    7.63,    4.77,    3.43,-999,-999,-999
47.39291,-124.31319,1981,01,02,    0.05,  100.53,  0.005588,    4.92,    7.57,    5.40,    7.28,    6.60,    4.86,-999,-999,-999
47.39291,-124.31319,1981,01,03,    0.22,  100.78,  0.005119,    3.78,    7.12,    4.14,    6.70,    5.34,    4.04,-999,-999,-999
47.39291,-124.31319,1981,01,04,    0.14,  101.39,  0.005621,    3.20,    7.81,    5.61,    7.98,    3.43,    2.58,-999,-999,-999
47.39291,-124.31319,1981,01,05,    0.30,  101.01,  0.005540,    4.09,    7.64,    5.35,    7.48,    5.25,    3.81,-999,-999,-999
47.39291,-124.31319,1981,01,06,    0.34,  100.87,  0.005567,    4.16,    7.21,    5.37,    7.18,    3.45,    2.63,-999,-999,-999
47.39291,-124.31319,1981,01,07,    0.97,  100.32,  0.005178,    4.00,    6.59,    4.24,    5.80,    4.68,    3.63,-999,-999,-999
47.39291,-124.31319,1981,01,08,    5.15,  100.02,  0.005532,    3.26,    7.85,    5.06,    7.49,    8.48,    6.53,-999,-999,-999
47.39291,-124.31319,1981,01,09,    0.71,  100.97,  0.005963,    2.49,    7.58,    6.38,    7.18,    5.61,    4.32,-999,-999,-999
47.39291,-124.31319,1981,01,10,    0.00,  100.79,  0.005172,    4.98,    7.25,    4.29,    6.62,    6.08,    4.53,-999,-999,-999
47.39291,-124.31319,1981,01,11,    0.03,  100.73,  0.005045,    4.39,    7.39,    3.92,    6.90,    6.13,    4.58,-999,-999,-999
47.39291,-124.31319,1981,01,12,    0.03,  100.76,  0.005261,    4.08,    7.81,    4.51,    7.79,    6.48,    4.72,-999,-999,-999
47.39291,-124.31319,1981,01,13,    0.01,  101.01,  0.005130,    3.44,    7.30,    4.16,    7.55,    5.04,    3.78,-999,-999,-999
47.39291,-124.31319,1981,01,14,    0.00,  100.51,  0.005022,    4.72,    7.21,    3.79,    7.02,    5.80,    4.42,-999,-999,-999
47.39291,-124.31319,1981,01,15,    0.04,  100.03,  0.004922,    3.61,    7.75,    3.46,    7.38,    7.86,    6.01,-999,-999,-999
47.39291,-124.31319,1981,01,16,    2.72,   99.74,  0.004979,    3.91,    7.76,    3.58,    7.17,    7.25,    5.64,-999,-999,-999
47.39291,-124.31319,1981,01,17,    4.56,   99.70,  0.005931,    3.69,    8.09,    6.08,    7.82,    8.98,    6.97,-999,-999,-999
47.39291,-124.31319,1981,01,18,   10.72,   99.85,  0.006543,    2.36,    9.22,    7.63,    9.44,   10.59,    7.96,-999,-999,-999
47.39291,-124.31319,1981,01,19,    4.22,   99.93,  0.006700,    2.69,    9.40,    7.98,    9.85,    8.37,    6.02,-999,-999,-999
47.39291,-124.31319,1981,01,20,   13.08,   99.61,  0.006610,    4.07,    9.30,    7.73,    9.88,   10.40,    7.67,-999,-999,-999
47.39291,-124.31319,1981,01,21,    6.34,   99.71,  0.007481,    1.57,    9.96,    9.59,   10.85,    9.41,    6.32,-999,-999,-999
47.39291,-124.31319,1981,01,22,    6.05,   99.74,  0.006648,    4.00,    8.87,    7.79,    9.50,    6.65,    4.59,-999,-999,-999
47.39291,-124.31319,1981,01,23,    4.15,  100.16,  0.006100,    2.59,    7.76,    6.60,    7.87,    5.43,    4.15,-999,-999,-999
47.39291,-124.31319,1981,01,24,    2.07,  100.83,  0.005173,    1.61,    7.19,    4.37,    6.60,    4.36,    3.27,-999,-999,-999
47.39291,-124.31319,1981,01,25,    6.12,  100.31,  0.005163,    1.67,    6.63,    4.24,    5.57,    6.70,    5.40,-999,-999,-999
47.39291,-124.31319,1981,01,26,   17.43,   99.21,  0.005429,    4.33,    7.11,    4.79,    6.48,    6.37,    4.90,-999,-999,-999
47.39291,-124.31319,1981,01,27,   17.14,   98.80,  0.005299,    3.94,    6.73,    4.37,    5.52,    5.47,    4.27,-999,-999,-999
47.39291,-124.31319,1981,01,28,    5.85,   98.55,  0.005247,    0.95,    6.89,    4.24,    5.83,    5.14,    4.04,-999,-999,-999
47.39291,-124.31319,1981,01,29,    0.67,   99.86,  0.004639,    2.79,    6.68,    2.67,    6.99,    2.80,    2.22,-999,-999,-999
47.39291,-124.31319,1981,01,30,    0.26,  101.03,  0.004143,    3.83,    5.95,    1.20,    6.65,    1.20,    0.94,-999,-999,-999
47.39291,-124.31319,1981,01,31,    0.18,  101.64,  0.004278,    3.75,    5.54,    1.79,    6.10,    1.64,    1.43,-999,-999,-999
47.39291,-124.31319,1981,02,01,    0.41,  101.83,  0.004474,    2.55,    5.40,    2.42,    4.55,    3.51,    2.88,-999,-999,-999
47.39291,-124.31319,1981,02,02,    0.02,  101.70,  0.004568,    5.16,    5.93,    2.67,    5.68,    2.62,    2.08,-999,-999,-999
47.39291,-124.31319,1981,02,03,    0.08,  101.28,  0.004636,    5.35,    6.43,    2.80,    6.18,    2.82,    2.21,-999,-999,-999
47.39291,-124.31319,1981,02,04,    0.63,  100.96,  0.004195,    4.58,    5.56,    1.39,    4.62,    3.96,    3.17,-999,-999,-999
47.39291,-124.31319,1981,02,05,    0.28,  100.89,  0.004260,    5.16,    5.40,    1.59,    5.39,    2.47,    2.00,-999,-999,-999
47.39291,-124.31319,1981,02,06,    0.07,  101.19,  0.004159,    4.33,    5.31,    1.30,    4.80,    1.84,    1.48,-999,-999,-999
47.39291,-124.31319,1981,02,07,    0.03,  101.04,  0.004041,    4.90,    5.38,    0.87,    4.66,    2.40,    1.91,-999,-999,-999
47.39291,-124.31319,1981,02,08,    0.36,  100.21,  0.004486,    3.35,    5.49,    2.21,    5.04,    1.66,    1.42,-999,-999,-999
47.39291,-124.31319,1981,02,09,    1.24,  100.06,  0.003931,    7.41,    5.66,    0.01,    4.65,    5.22,    4.02,-999,-999,-999
47.39291,-124.31319,1981,02,10,    0.45,  100.77,  0.002686,    5.46,    4.51,   -4.69,    1.72,    6.02,    4.78,-999,-999,-999
47.39291,-124.31319,1981,02,11,   34.70,  100.20,  0.005139,    7.31,    5.96,    3.45,    4.81,    5.82,    4.25,-999,-999,-999
47.39291,-124.31319,1981,02,12,   22.15,  100.31,  0.006975,    1.24,    8.15,    8.53,    8.80,    6.60,    4.26,-999,-999,-999
47.39291,-124.31319,1981,02,13,   25.22,   99.56,  0.007548,    3.07,    9.67,    9.66,   10.37,    9.44,    6.43,-999,-999,-999
47.39291,-124.31319,1981,02,14,   34.77,  100.28,  0.006620,    0.86,    8.71,    7.86,    8.94,    8.79,    6.39,-999,-999,-999
47.39291,-124.31319,1981,02,15,   55.73,   99.79,  0.007260,    1.49,    9.26,    9.14,    9.74,   10.01,    7.09,-999,-999,-999
47.39291,-124.31319,1981,02,16,   33.02,   99.03,  0.007154,    3.09,    9.29,    8.77,    9.77,   13.41,    9.88,-999,-999,-999
47.39291,-124.31319,1981,02,17,   31.71,  100.14,  0.006471,    1.34,    8.52,    7.50,    8.72,    8.44,    6.15,-999,-999,-999
47.39291,-124.31319,1981,02,18,   24.66,   99.68,  0.006901,    3.72,    9.01,    8.34,    9.35,    7.07,    4.94,-999,-999,-999
47.39291,-124.31319,1981,02,19,   18.86,   99.61,  0.005719,    5.85,    8.10,    5.44,    7.93,   12.25,    9.23,-999,-999,-999
47.39291,-124.31319,1981,02,20,    3.62,  101.76,  0.005302,    2.64,    7.44,    4.75,    7.09,    6.36,    4.74,-999,-999,-999
47.39291,-124.31319,1981,02,21,    0.79,  101.69,  0.005975,    3.06,    8.41,    6.55,    8.58,    3.21,    2.19,-999,-999,-999
47.39291,-124.31319,1981,02,22,    0.84,  100.51,  0.005638,    7.52,    9.16,    5.35,    9.56,    4.31,    2.86,-999,-999,-999
47.39291,-124.31319,1981,02,23,    7.75,   99.03,  0.005904,    3.33,    7.84,    5.92,    7.75,    6.62,    4.98,-999,-999,-999
47.39291,-124.31319,1981,02,24,   10.44,   98.76,  0.005015,    0.85,    6.44,    3.63,    5.60,    3.81,    2.90,-999,-999,-999
47.39291,-124.31319,1981,02,25,    1.18,   99.45,  0.005255,    2.12,    6.91,    4.39,    6.41,    3.23,    2.53,-999,-999,-999
47.39291,-124.31319,1981,02,26,    0.55,   99.76,  0.005045,    5.91,    7.34,    3.79,    7.60,    2.53,    1.73,-999,-999,-999
47.39291,-124.31319,1981,02,27,    3.19,  100.24,  0.005563,    3.63,    7.40,    5.27,    6.70,    5.74,    4.47,-999,-999,-999
47.39291,-124.31319,1981,02,28,    0.06,  100.10,  0.005731,    7.60,    8.52,    5.65,    8.70,    5.60,    3.71,-999,-999,-999
